name,type,layer,address,lat,lng,notes
BUFFALO & ERIE CNTY PUBLIC LIBRARY,Public,Who We Borrow From,,,,Could not be geocoded — needs manual address lookup
CENTRAL NEW MEXICO COMMUNITY COLLEGE,Academic,Who We Borrow From,,,,Could not be geocoded — needs manual address lookup
CUNY BARUCH COLLEGE,Academic,Who We Borrow From,,,,Could not be geocoded — needs manual address lookup
CUNY BROOKLYN COLLEGE,Academic,Who We Borrow From,,,,Could not be geocoded — needs manual address lookup
CUNY CITY COLLEGE,Academic,Who We Borrow From,,,,Could not be geocoded — needs manual address lookup
CUNY LAGUARDIA COMMUNITY COLLEGE,Academic,Who We Borrow From,,,,Could not be geocoded — needs manual address lookup
CUNY LEHMAN COLLEGE,Academic,Who We Borrow From,,,,Could not be geocoded — needs manual address lookup
FINGER LAKES LIBRARY SYSTEM,Public,Who We Borrow From,,,,Could not be geocoded — needs manual address lookup
CUNY HUNTER COLLEGE,Academic,Who We Borrow From,,,,Could not be geocoded — needs manual address lookup
ONONDAGA CNTY PUBLIC LIBRARY,Public,Who We Borrow From,,,,Could not be geocoded — needs manual address lookup
PRINCE GEORGES COUNTY MEMORIAL LIBRARY SYSTEM,Public,Who We Borrow From,,,,Could not be geocoded — needs manual address lookup
SUNY AT ALBANY LIBRS,Academic,Who We Borrow From,,,,Could not be geocoded — needs manual address lookup
SUNY AT BUFFALO,Academic,Who We Borrow From,,,,Could not be geocoded — needs manual address lookup
SUNY AT STONY BROOK,Academic,Who We Borrow From,,,,Could not be geocoded — needs manual address lookup
SYRACUSE UNIVIVERSITY COLLEGE OF LAW,Academic,Who We Borrow From,,,,Could not be geocoded — needs manual address lookup
UNIVERSITY OF ARKANSAS MULLINS,Academic,Who We Borrow From,,,,Could not be geocoded — needs manual address lookup
VAUGHN COLLEGE OF AERONAUTICS & TECHNOLOGY,Academic,Who We Borrow From,,,,Could not be geocoded — needs manual address lookup
WESTCHESTER LIBRARY SYSTEM,Public,Who We Borrow From,,,,Could not be geocoded — needs manual address lookup
ST. JOHN'S UNIVERSITY LIBRARY NETWORK,Academic,Who We Borrow From,,,,Could not be geocoded — needs manual address lookup
CUNY KINGSBOROUGH COMMUNITY COLLEGE,Academic,Who We Borrow From,,,,Could not be geocoded — needs manual address lookup
DAEMEN UNIVERSITY,Academic,Who We Borrow From,,,,Could not be geocoded — needs manual address lookup
BARD HIGH SCH EARLY COLLEGE - QUEENS,Schools Below College Level,Who We Lend To,,,,Could not be geocoded — needs manual address lookup
"NASJONALBIBLIOTEKET, AVDELING OSLO",State Library,Who We Lend To,,,,Could not be geocoded — needs manual address lookup
SUNY COLLEGE OF ENVIRON SCI & FORESTRY,Academic,Who We Lend To,,,,Could not be geocoded — needs manual address lookup
LAS VEGAS CLARK COUNTY LIBRARY DISTRIST,Public,Who We Lend To,,,,Could not be geocoded — needs manual address lookup
NIOGA LIBRARY SYSTEM,Public,Who We Lend To,,,,Could not be geocoded — needs manual address lookup
SUNY COLLEGE AT OSWEGO,Academic,Who We Lend To,,,,Could not be geocoded — needs manual address lookup
MID-YORK LIBRARY SYSTEM,Other,Who We Lend To,,,,Could not be geocoded — needs manual address lookup
SUFFOLK COOP LIBRARY SYSTEM,Public,Who We Lend To,,,,Could not be geocoded — needs manual address lookup
JEFFERSON PARISH EASTBANK REGIONAL LIBRARY,Public,Who We Lend To,,,,Could not be geocoded — needs manual address lookup
NEW CASTLE COUNTY PUBLIC LIBRARY SYSTEM,Public,Who We Lend To,,,,Could not be geocoded — needs manual address lookup
NORTH COUNTRY LIBRARY SYSTEM,Public,Who We Lend To,,,,Could not be geocoded — needs manual address lookup
PACE UNIVERSITY LAW LIBRARY,Law Library,Who We Lend To,,,,Could not be geocoded — needs manual address lookup
FAIRLEIGH DICKINSON UNIVERSITY METROP CAM,Academic,Who We Lend To,,,,Could not be geocoded — needs manual address lookup
UNIVERSITY OF NORTHWESTERN-ST PAUL,Academic,Who We Lend To,,,,Could not be geocoded — needs manual address lookup
PRINCE GEORGES CNTY MEMORIAL LIBRARY SYSTEM,Public,Who We Lend To,,,,Could not be geocoded — needs manual address lookup
ST. JOHNS UNIVERSITY LIBRARY NETWORK,Academic,Who We Lend To,,,,Could not be geocoded — needs manual address lookup
CUNY NEW YORK CITY COLLEGE OF TECHNOLOGY,Academic,Who We Lend To,,,,Could not be geocoded — needs manual address lookup
MID-HUDSON LIBRARY SYSTEM,Public,Who We Lend To,,,,Could not be geocoded — needs manual address lookup
SOMERSET CNTY LIBRARY,Public,Who We Lend To,,,,Could not be geocoded — needs manual address lookup
HOLY TRINITY ORTHODOX SEMINARY,Academic,Who We Lend To,,,,Could not be geocoded — needs manual address lookup
